51
-1	0	0	205	247	10	
-1	0	176	142	68	12	
-1	0	32	108	125	13	
-1	0	1	92	32	16	
-1	0	258	106	30	16	
-1	0	319	139	34	16	
-1	0	352	109	62	11	
-1	0	449	106	98	16	
-1	0	543	139	32	13	
-1	0	576	170	63	14	
-1	0	606	106	97	16	
-1	0	721	139	37	15	
-1	0	703	138	17	16	
-1	0	159	142	16	12	
-2	4	121	197	11	7	IsRightStair	1	IsTop	0	
-2	4	176	127	15	12	IsRightStair	1	IsTop	1	
-2	4	88	101	13	7	IsRightStair	1	IsTop	0	
-2	4	647	211	13	6	IsRightStair	1	IsTop	0	
-2	4	719	125	16	14	IsRightStair	1	IsTop	1	
-4	2	137	30	27	13	
-5	2	638	208	20	8	
9	1	60	75	16	31	
9	1	577	137	16	31	
9	1	379	74	16	31	
-1	0	0	31	14	90	
-1	0	736	29	20	125	
-1	0	610	122	31	49	
2	2	198	146	8	16	
2	2	714	43	8	16	
2	2	586	43	8	16	
2	2	459	43	8	16	
2	2	533	49	8	16	
2	2	375	48	8	16	
2	2	299	71	8	16	
10	1	550	47	16	16	
-6	2	256	56	24	51	
2	2	93	137	8	16	
20	2	89	137	16	16	
5	2	193	145	17	17	
21	2	147	188	17	17	
2	2	130	65	8	16	
17	2	126	65	17	16	
2	2	638	42	8	16	
15	2	713	43	9	16	
15	2	637	43	9	16	
15	2	585	43	9	16	
19	2	605	106	16	15	
15	2	532	48	9	16	
15	2	458	43	9	16	
22	2	371	48	16	16	
15	2	298	72	9	16	
