99
-1	0	2784	48	32	16
-1	0	1520	112	160	16
-1	0	2160	112	272	16
-1	0	2720	112	208	16
-1	0	2624	128	32	16
-1	0	1456	144	48	16
-1	0	1696	144	96	16
-1	0	2432	144	48	16
-1	0	2656	144	48	16
-1	0	2944	144	176	16
-1	0	3536	144	48	16
-1	0	3488	176	32	16
-1	0	768	208	1584	16
-1	0	2368	208	192	16
-1	0	2624	208	48	16
-1	0	2688	208	896	16
-1	0	2400	288	32	16
-1	0	2304	320	224	16
-1	0	2560	320	32	16
-1	0	2624	320	160	16
-1	0	2784	352	32	16
-1	0	2752	384	32	16
-2	2	1392	200	16	8
-2	2	1456	128	16	16
-2	2	1488	135	16	9
-2	2	1520	96	16	16
-1	0	1504	112	16	16
-1	0	1440	144	16	16
-2	2	1664	96	16	16
-1	0	1680	112	16	16
-2	2	1696	136	16	8
-2	2	2064	200	16	8
-2	2	2160	96	16	16
-1	0	2144	112	16	16
-2	2	2528	200	15	8
-2	2	2464	128	16	16
-2	2	2384	280	16	8
-2	2	2336	224	16	16
-1	0	2480	144	16	16
-2	2	2736	312	16	8
-2	2	2656	224	16	16
-2	2	2656	192	16	16
-2	2	2336	192	16	16
-2	2	2688	128	16	16
-2	2	2752	200	16	8
-1	0	2704	144	16	16
-2	2	2912	96	16	16
-2	2	2944	136	16	8
-2	2	3104	128	16	16
-2	2	3168	200	16	8
-2	2	3504	168	16	8
-2	2	3536	128	16	16
-1	0	3520	144	16	16
-1	0	3120	144	16	16
-1	0	2928	112	16	16
-3	3	688	98	14	90
3	1	1465	126	24	16
3	1	1644	96	24	16
3	1	1723	127	24	16
1	3	325	159	16	32
1	3	447	157	16	32
1	3	203	162	16	32
1	3	547	158	16	32
2	3	828	177	8	16
2	3	859	149	8	16
2	3	924	177	8	16
2	3	985	147	8	16
2	3	1049	176	8	16
2	3	1113	151	8	16
2	3	1180	177	8	16
2	3	1243	146	8	16
2	3	1309	176	8	16
2	3	1373	147	8	16
2	3	1441	82	8	16
2	3	1749	82	8	16
2	3	1691	175	8	16
2	3	1503	178	8	16
2	3	1823	179	8	16
2	3	2013	181	8	16
2	3	1888	181	8	16
2	3	1952	177	8	16
2	3	2143	163	8	16
-1	0	0	196	778	13
1	3	95	163	16	32
5	3	98	162	16	32
6	3	200	163	20	32
6	3	328	161	20	32
5	3	449	159	16	32
7	3	546	163	20	32
4	1	922	175	16	32
4	1	981	176	16	32
4	1	1017	175	16	32
4	1	1045	175	16	32
4	1	1082	176	16	32
4	1	1686	175	16	32
4	1	1734	175	16	32
4	1	1859	176	16	32
4	1	1907	176	16	32
4	1	2013	175	16	32
