82
-1	0	675	365	95	15	
-1	0	130	381	639	14	
-1	0	65	365	66	14	
-1	0	98	300	97	15	
-1	0	288	333	37	17	
-1	0	417	332	33	17	
-1	0	736	302	35	15	
-1	0	255	206	452	13	
-1	0	33	333	32	14	
-1	0	1	1	32	185	
-1	0	32	157	31	32	
-1	0	130	94	31	30	
-1	0	161	158	162	15	
-1	0	223	95	34	15	
-1	0	355	158	30	15	
-1	0	418	126	32	10	
-1	0	450	159	32	13	
-1	0	482	112	31	6	
-1	0	481	175	63	15	
-1	0	611	159	64	15	
-1	0	676	142	30	13	
-1	0	705	110	33	14	
-1	0	738	126	31	58	
-2	4	150	290	19	11	IsRightStair	0	IsTop	0	
-2	4	128	84	17	11	IsRightStair	1	IsTop	1	
-2	4	378	150	11	8	IsRightStair	1	IsTop	0	
-2	4	570	83	13	12	IsRightStair	0	IsTop	1	
-2	4	622	150	18	9	IsRightStair	0	IsTop	0	
-7	2	101	237	20	12	
-8	0	36	127	21	14	
-2	4	413	115	16	12	IsRightStair	1	IsTop	1	
-1	0	543	94	34	15	
-9	2	750	78	20	48	
2	2	666	350	8	16	
2	2	609	349	8	16	
2	2	552	350	8	16	
2	2	426	348	8	16	
2	2	290	351	8	16	
2	2	223	350	8	16	
2	2	100	324	8	16	
2	2	154	265	8	16	
2	2	161	53	8	16	
2	2	227	125	8	16	
2	2	290	127	8	16	
2	2	349	127	8	16	
2	2	414	94	8	16	
2	2	477	143	8	16	
2	2	539	144	8	16	
2	2	604	130	8	16	
2	2	729	83	8	16	
11	1	37	299	16	32	
11	1	654	125	16	32	
12	1	423	316	16	16	
12	1	169	284	16	16	
13	1	274	29	16	16	
13	1	416	78	16	16	
13	1	481	46	16	16	
13	1	515	159	16	16	
23	2	666	349	14	14	
15	2	609	350	9	16	
24	2	547	350	17	18	
2	2	727	333	8	16	
22	2	723	335	16	16	
2	2	475	349	8	16	
17	2	471	350	17	16	
15	2	426	350	9	16	
12	1	299	316	16	16	
17	2	286	352	17	16	
15	2	223	351	9	16	
17	2	95	325	17	16	
5	2	152	265	17	17	
5	2	161	52	17	17	
15	2	227	126	9	16	
15	2	290	128	9	16	
17	2	349	128	17	16	
17	2	413	95	17	16	
15	2	476	143	9	16	
17	2	531	144	17	16	
2	2	673	128	8	16	
15	2	673	125	9	16	
25	2	723	84	16	17	
18	2	593	132	17	16	
