50
-1	0	6	180	1536	20	
-1	0	690	116	47	14	
-1	0	754	84	157	15	
-1	0	929	115	95	16	
-1	0	1393	83	143	15	
-1	0	40	176	0	0	
-1	0	52	170	0	0	
2	2	62	149	8	16	
2	2	91	133	8	16	
2	2	217	131	8	16	
2	2	284	150	8	16	
2	2	346	133	8	16	
2	2	410	149	8	16	
2	2	475	116	8	16	
2	2	605	114	8	16	
2	2	671	65	8	16	
2	2	735	145	8	16	
2	2	979	47	8	16	
2	2	1053	149	8	16	
2	2	1119	151	8	16	
2	2	1184	152	8	16	
2	2	1367	145	8	16	
4	1	90	147	16	32	
4	1	121	146	16	32	
4	1	168	147	16	32	
4	1	197	147	16	32	
4	1	235	147	16	32	
4	1	799	147	16	32	
4	1	1075	148	16	32	
4	1	1120	147	16	32	
4	1	1181	147	16	32	
4	1	849	147	16	32	
4	1	1376	147	16	32	
-2	4	623	170	20	9	
-2	4	686	96	16	19	
-2	4	719	107	16	8	
-2	4	752	67	17	15	
-2	4	896	68	17	16	
-2	4	930	107	14	7	
-2	4	1295	171	20	9	
-2	4	1393	67	16	17	
-1	0	1377	81	15	16	
-1	0	673	112	15	18	
-1	0	738	81	14	16	
-1	0	913	85	14	12	
-1	0	94	233	0	0	
-1	0	91	227	0	0	
3	1	698	100	24	16	
3	1	873	68	24	16	
3	1	960	100	24	16	
